year,quarter,megalitres
1956,1,284.4
1956,2,212.8
1956,3,226.9
1956,4,308.4
1957,1,262.0
1957,2,227.9
1957,3,236.1
1957,4,320.4
1958,1,271.9
1958,2,232.8
1958,3,237.0
1958,4,313.4
1959,1,261.4
1959,2,226.8
1959,3,249.9
1959,4,314.3
1960,1,286.1
1960,2,226.5
1960,3,260.4
1960,4,311.4
1961,1,294.7
1961,2,232.6
1961,3,257.2
1961,4,339.2
1962,1,279.1
1962,2,249.8
1962,3,269.8
1962,4,345.7
1963,1,293.8
1963,2,254.7
1963,3,277.5
1963,4,363.4
1964,1,313.4
1964,2,272.8
1964,3,300.1
1964,4,369.5
1965,1,330.8
1965,2,287.8
1965,3,305.9
1965,4,386.1
1966,1,335.2
1966,2,288.0
1966,3,308.3
1966,4,402.3
1967,1,352.8
1967,2,316.1
1967,3,324.9
1967,4,404.8
1968,1,393.0
1968,2,318.9
1968,3,327.0
1968,4,442.3
1969,1,383.1
1969,2,331.6
1969,3,361.4
1969,4,445.9
1970,1,386.6
1970,2,357.2
1970,3,373.6
1970,4,466.2
1971,1,409.6
1971,2,369.8
1971,3,378.6
1971,4,487.0
1972,1,419.2
1972,2,376.7
1972,3,392.8
1972,4,506.1
1973,1,458.4
1973,2,387.4
1973,3,426.9
1973,4,565.0
1974,1,464.8
1974,2,444.5
1974,3,449.5
1974,4,556.1
1975,1,499.6
1975,2,451.9
1975,3,434.9
1975,4,553.8
1976,1,510.0
1976,2,432.9
1976,3,453.2
1976,4,547.6
1977,1,485.8
1977,2,452.6
1977,3,456.6
1977,4,565.7
1978,1,514.8
1978,2,464.3
1978,3,430.9
1978,4,588.3
1979,1,503.1
1979,2,442.6
1979,3,448.0
1979,4,554.5
1980,1,504.5
1980,2,427.3
1980,3,473.1
1980,4,526.2
1981,1,547.5
1981,2,440.2
1981,3,468.7
1981,4,574.5
1982,1,492.6
1982,2,432.6
1982,3,479.8
1982,4,575.7
1983,1,474.6
1983,2,405.3
1983,3,434.6
1983,4,535.1
1984,1,452.6
1984,2,429.5
1984,3,417.2
1984,4,551.8
1985,1,464.0
1985,2,416.6
1985,3,422.9
1985,4,553.6
1986,1,458.6
1986,2,427.6
1986,3,429.2
1986,4,534.2
1987,1,481.7
1987,2,416.0
1987,3,440.2
1987,4,538.7
1988,1,473.8
1988,2,439.9
1988,3,446.8
1988,4,597.5
1989,1,467.2
1989,2,439.4
1989,3,447.4
1989,4,568.5
1990,1,485.9
1990,2,442.1
1990,3,430.5
1990,4,600.0
1991,1,464.5
1991,2,423.6
1991,3,437.0
1991,4,574.0
1992,1,443.0
1992,2,410.0
1992,3,420.0
1992,4,532.0
1993,1,432.0
1993,2,420.0
1993,3,411.0
1993,4,512.0
1994,1,449.0
1994,2,382.0
